uid,iid,rat,tmp
941,1,5,875049144
941,7,4,875048952
941,15,4,875049144
941,117,5,875048886
941,124,5,875048996
941,147,4,875049077
941,181,5,875048887
941,222,2,875049038
941,257,4,875048952
941,258,4,875048495
941,273,3,875049038
941,294,4,875048532
941,298,5,875048887
941,300,4,875048495
941,358,2,875048581
941,408,5,875048886
941,455,4,875049038
941,475,4,875049038
941,763,3,875048996
941,919,5,875048887
941,993,4,875048996
941,1007,4,875049077
944,1,5,874965758
944,2,3,876893171
944,3,4,878542960
944,4,3,876893119
944,5,3,889751712
944,6,5,887431973
944,7,4,875071561
944,8,1,875072484
944,9,5,878543541
944,10,3,875693118
944,11,2,875072262
944,12,5,878542960
944,13,5,875071805
944,14,5,874965706
944,15,5,875071608
944,16,5,878543541
944,17,3,875073198
944,18,4,887432020
944,19,5,875071515
944,20,4,887431883
944,21,1,878542772
944,22,4,875072404
944,23,4,875072895
944,24,3,875071713
944,25,4,875071805
944,26,3,875072442
944,27,2,876892946
944,28,4,875072173
944,29,1,878542869
944,30,3,878542515
944,31,3,875072144
944,32,5,888732909
944,33,4,878542699
944,34,2,878542869
944,35,1,878542420
944,36,2,875073180
944,37,2,878543030
944,38,3,878543075
944,39,4,875072173
944,40,3,876893230
944,41,2,876892818
944,42,5,876892425
944,43,4,878542869
944,44,5,878543541
944,45,5,875241687
944,46,4,876893230
944,47,4,875072125
944,48,5,875072520
944,49,3,878542478
944,50,5,874965954
944,51,4,878543275
944,52,4,875072205
944,53,3,876893206
944,54,3,878543308
944,55,5,875072688
944,56,4,875072716
944,57,5,878542459
944,58,4,878542960
944,59,5,876892817
944,60,5,875072370
944,61,4,878542420
944,62,3,878542282
944,63,2,878543196
944,64,5,875072404
944,65,4,875072125
944,66,4,878543030
944,67,3,876893054
944,68,4,875072688
944,69,3,875072262
944,70,3,875072895
944,71,3,876892425
944,72,4,878542678
944,73,3,876892774
944,74,1,889751736
944,75,4,878543238
944,76,4,878543176
944,77,4,876893205
944,78,1,878543176
944,79,4,875072865
944,80,4,876893008
944,81,5,875072865
944,82,5,878542589
944,83,3,875072370
944,84,4,875072923
944,85,3,875073180
944,86,5,878543541
944,87,5,878543541
944,88,4,878542791
944,89,5,875072484
944,90,4,878542300
944,91,5,876892636
944,92,3,876892425
944,93,5,875071484
944,94,2,875072956
944,95,4,875072303
944,96,5,875072716
944,97,3,875073128
944,98,4,875072404
944,99,3,875072547
944,100,5,878543541
944,101,2,878542845
944,102,2,889751736
944,103,1,878542845
944,104,1,875241619
944,105,2,875240739
944,106,4,875241390
944,107,4,875241619
944,108,5,875240920
944,109,5,874965739
944,110,1,878542845
944,111,5,889751711
944,112,1,878542441
944,113,5,878542738
944,114,5,875072173
944,115,5,878541637
944,116,3,878542960
944,117,3,874965739
944,118,3,875071927
944,119,5,876893098
944,120,1,875241637
944,121,4,875071823
944,122,3,875241498
944,123,4,875071541
944,124,5,875071484
944,125,3,878542960
944,126,2,875071713
944,127,5,874965706
944,128,4,875072573
944,129,5,887431908
944,130,3,875072002
944,131,1,878542552
944,132,4,878542889
944,133,4,876892818
944,134,4,875073067
944,135,4,875072404
944,136,3,876893206
944,137,5,875071541
944,138,1,878543006
944,139,3,878543216
944,140,1,878543133
944,141,3,878542608
944,142,2,878543238
944,143,1,875072631
944,144,4,875073180
944,145,2,875073067
944,146,4,875071561
944,147,3,875240993
944,148,2,875240799
944,149,2,878542791
944,150,5,876892196
944,151,4,875072865
944,152,5,878542589
944,153,3,876893230
944,154,5,878543541
944,155,2,878542201
944,156,4,874965556
944,157,4,876892918
944,158,3,878542699
944,159,3,875073180
944,160,4,875072547
944,161,4,875072303
944,162,4,878542420
944,163,4,875072442
944,164,3,876893171
944,165,5,874965518
944,166,5,874965677
944,167,2,878542383
944,168,5,874965478
944,169,5,878543541
944,170,5,876892856
944,171,5,889751711
944,172,5,874965478
944,173,5,878541803
944,174,5,875073198
944,175,5,875072547
944,176,5,876892468
944,177,5,876892701
944,178,5,878543541
944,179,3,875072370
944,180,3,875072573
944,181,5,874965739
944,182,4,875072520
944,183,5,875072262
944,184,4,875072956
944,185,4,875072631
944,186,4,875073128
944,187,4,874965678
944,188,3,875073128
944,189,3,888732928
944,190,5,875072125
944,191,5,875072956
944,192,4,875072547
944,193,4,876892654
944,194,4,876892743
944,195,5,876892855
944,196,5,874965677
944,197,5,875072956
944,198,5,878542717
944,199,4,875072262
944,200,3,876893098
944,201,3,878542960
944,202,5,875072442
944,203,4,878542231
944,204,5,875072688
944,205,3,878542909
944,206,4,876893205
944,207,5,875073067
944,208,5,878542960
944,209,4,888732908
944,210,4,878542909
944,211,3,878541970
944,212,4,875072895
944,213,2,876892896
944,214,4,875072520
944,215,3,876893145
944,216,5,876892701
944,217,3,876892676
944,218,3,876892856
944,219,1,878542327
944,220,3,875241390
944,221,5,887431921
944,222,4,878873388
944,223,5,876892918
944,224,5,875071484
944,225,2,878542738
944,226,3,878543176
944,227,4,876892946
944,228,5,878543541
944,229,4,878542075
944,230,4,878542420
944,231,1,876893031
944,232,3,878543196
944,233,2,878542552
944,234,4,876892355
944,235,5,875071589
944,236,4,875071898
944,237,2,875071749
944,238,4,875072235
944,239,4,878542845
944,240,3,875071898
944,241,4,878543133
944,242,5,889751633
944,243,1,875241390
944,244,2,887431973
944,245,2,875071713
944,246,5,874965905
944,247,1,875241619
944,248,4,874965954
944,249,4,874965970
944,250,4,874965706
944,251,4,875071843
944,252,2,875240677
944,253,5,874965970
944,254,1,878541392
944,255,2,885345822
944,256,4,889751712
944,257,4,874965954
944,258,5,878873389
944,259,1,875692979
944,260,1,875071713
944,261,1,875692992
944,262,3,875071421
944,263,1,875693007
944,264,2,875071713
944,265,4,878542441
944,266,1,885345728
944,267,4,875692955
944,268,5,875692927
944,269,5,877482427
944,270,5,888732827
944,271,2,887431672
